product_name,product_category,price,ecommerce_website_name
X Ultra 4 Mid GORE-TEX Hiking Boots - Men's,Boots,175,https://www.rei.com/product/236524/salomon-x-ultra-4-mid-gore-tex-hiking-boots-mens
Ultra Raptor II Mid Leather GTX Hiking Boots - Men's,Boots,219,https://www.rei.com/product/239203/la-sportiva-ultra-raptor-ii-mid-leather-gtx-hiking-boots-mens
Nucleo High II GTX Hiking Boots - Men's,Boots,239,https://www.rei.com/product/235425/la-sportiva-nucleo-high-ii-gtx-hiking-boots-mens
Bridger Mid Waterproof Hiking Boots - Women's,Boots,200,https://www.rei.com/product/857721/oboz-bridger-mid-waterproof-hiking-boots-womens
Minx Shorty IV Boots - Women's,Boots,110,https://www.rei.com/product/238060/columbia-minx-shorty-iv-boots-womens
Evie II Chelsea Boots - Women's,Boots,140,https://www.rei.com/product/223660/sorel-evie-ii-chelsea-boots-womens
Newton Ridge Plus II Waterproof Hiking Boots - Men's,Boots,100,https://www.rei.com/product/246753/columbia-newton-ridge-plus-ii-waterproof-hiking-boots-mens
Mountain 600 Leaf GTX Hiking Boots - Men's,Boots,219.95,https://www.rei.com/product/239565/danner-mountain-600-leaf-gtx-hiking-boots-mens
Revel IV High Polar Boots - Men's,Boots,210,https://www.rei.com/product/179279/keen-revel-iv-high-polar-boots-mens
Explorer STRT Chelsea Boots - Women's,Boots,140,https://www.rei.com/product/237495/sorel-explorer-strt-chelsea-boots-womens
Joan of Arctic Waterproof Boots - Women's,Boots,240,https://www.rei.com/product/237496/sorel-joan-of-arctic-waterproof-boots-womens
Explorer III Joan Waterproof Boots - Women's,Boots,145,https://www.rei.com/product/237502/sorel-explorer-iii-joan-waterproof-boots-womens
Weekender Tent 6,Tents,199.99,https://www.rei.com/product/189282/alpine-mountain-gear-weekender-tent-6
Mineral King 2 Tent with Footprint,Tents,325,https://www.rei.com/product/164699/mountain-hardwear-mineral-king-2-tent-with-footprint
